- Data collection timestamp: 2023-6-9  21:29:29

--- BIOS Attributes ---
Attribute Name: AcPwrRcvry	Attribute Value: Last
Attribute Name: SataPortH	Attribute Value: Auto
Attribute Name: SataPortHCapacity	Attribute Value: N/A
Attribute Name: SataPortHDriveType	Attribute Value: Unknown Device
Attribute Name: SataPortHModel	Attribute Value: Unknown
Attribute Name: SecureBoot	Attribute Value: Disabled
Attribute Name: SecureBootMode	Attribute Value: DeployedMode
Attribute Name: SecureBootPolicy	Attribute Value: Standard
Attribute Name: SecurityFreezeLock	Attribute Value: Enabled
Attribute Name: SerialComm	Attribute Value: OnNoConRedir
Attribute Name: SerialPortAddress	Attribute Value: Com1
Attribute Name: SetBootOrderDis	Attribute Value: 
Attribute Name: SetBootOrderDis2	Attribute Value: 
Attribute Name: SetBootOrderEn	Attribute Value: RAID.SL.3-2,NIC.PxeDevice.1-1
Attribute Name: SetBootOrderEn2	Attribute Value: 
Attribute Name: SetBootOrderFqdd1	Attribute Value: 
Attribute Name: SetBootOrderFqdd10	Attribute Value: 
Attribute Name: SetBootOrderFqdd11	Attribute Value: 
Attribute Name: SetBootOrderFqdd12	Attribute Value: 
Attribute Name: SetBootOrderFqdd13	Attribute Value: 
Attribute Name: SetBootOrderFqdd14	Attribute Value: 
Attribute Name: SetBootOrderFqdd15	Attribute Value: 
Attribute Name: SetBootOrderFqdd16	Attribute Value: 
Attribute Name: SetBootOrderFqdd2	Attribute Value: 
Attribute Name: SetBootOrderFqdd3	Attribute Value: 
Attribute Name: SetBootOrderFqdd4	Attribute Value: 
Attribute Name: SetBootOrderFqdd5	Attribute Value: 
Attribute Name: SetBootOrderFqdd6	Attribute Value: 
Attribute Name: SetBootOrderFqdd7	Attribute Value: 
Attribute Name: SetBootOrderFqdd8	Attribute Value: 
Attribute Name: SetBootOrderFqdd9	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd1	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd10	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd11	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd12	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd13	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd14	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd15	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd16	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd2	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd3	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd4	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd5	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd6	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd7	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd8	Attribute Value: 
Attribute Name: SetLegacyHddOrderFqdd9	Attribute Value: 
Attribute Name: SetupPassword	Attribute Value: None
Attribute Name: SmmSecurityMitigation	Attribute Value: Disabled
Attribute Name: SnoopHldOff	Attribute Value: Roll2KCycles
Attribute Name: SriovGlobalEnable	Attribute Value: Disabled
Attribute Name: SubNumaCluster	Attribute Value: Disabled
Attribute Name: SysMemSize	Attribute Value: 16 GB
Attribute Name: SysMemSpeed	Attribute Value: 4800 MT/s
Attribute Name: SysMemType	Attribute Value: ECC DDR5
Attribute Name: SysMfrContactInfo	Attribute Value: www.dell.com
Attribute Name: SysPassword	Attribute Value: None
Attribute Name: SysPrepClean	Attribute Value: None
Attribute Name: SysProfile	Attribute Value: PerfOptimized
Attribute Name: SystemBiosVersion	Attribute Value: 1.3.2
Attribute Name: SystemCpldVersion	Attribute Value: 1.0.5
Attribute Name: SystemManufacturer	Attribute Value: Dell Inc.
Attribute Name: SystemMeVersion	Attribute Value: 6.0.4.33
Attribute Name: SystemModelName	Attribute Value: PowerEdge R760
Attribute Name: SystemServiceTag	Attribute Value: CP00508
Attribute Name: TimeZone	Attribute Value: LOCAL
Attribute Name: TpmInfo	Attribute Value: No TPM present
Attribute Name: TpmPpiBypassClear	Attribute Value: Disabled
Attribute Name: TpmPpiBypassProvision	Attribute Value: Disabled
Attribute Name: UefiComplianceVersion	Attribute Value: 2.7
Attribute Name: UefiVariableAccess	Attribute Value: Standard
Attribute Name: UmaBasedClusteringStatus	Attribute Value: Quadrant
Attribute Name: UncoreFrequency	Attribute Value: MaxUFS
Attribute Name: UpiPrefetch	Attribute Value: Enabled
Attribute Name: UsbManagedPort	Attribute Value: On
Attribute Name: UsbPorts	Attribute Value: AllOn
Attribute Name: VideoMem	Attribute Value: 16 MB
Attribute Name: WorkloadProfile	Attribute Value: NotConfigured
Attribute Name: WriteCache	Attribute Value: Disabled
Attribute Name: XptPrefetch	Attribute Value: Enabled
